game,console,loose_val,complete_val,new_val,date(D/M/Y)
Star Fox 64,nintendo-64,19.90,109.30,278.12,28/02/2024
Perfect Dark,nintendo-64,17.65,45.00,117.25,28/02/2024
Zelda Majora's Mask [Collector's Edition],nintendo-64,58.88,173.75,588.11,28/02/2024
Mario Party,nintendo-64,36.11,120.75,341.50,28/02/2024
Pokemon Snap,nintendo-64,17.65,94.42,399.99,28/02/2024
Funtastic Jungle Green Nintendo 64 System,nintendo-64,160.70,520.00,649.50,28/02/2024
Mario Party 3,nintendo-64,54.25,111.61,833.29,28/02/2024
Mario Party 2,nintendo-64,39.99,132.88,703.99,28/02/2024
Rampage 2 Universal Tour [Big Box],nintendo-64,N/A,500.00,650.00,28/02/2024
Resident Evil 2,nintendo-64,39.50,164.25,392.92,28/02/2024
Yoshi's Story,nintendo-64,20.25,112.08,810.61,28/02/2024
Funtastic Ice Blue Nintendo 64 System,nintendo-64,168.94,382.49,554.48,28/02/2024
Wide-Boy 64,nintendo-64,325.87,N/A,N/A,28/02/2024
iQue Player,nintendo-64,582.10,674.99,846.15,28/02/2024
Banjo-Tooie,nintendo-64,28.16,107.42,800.00,28/02/2024
Kirby 64: The Crystal Shards,nintendo-64,38.56,136.05,703.19,28/02/2024
Bomberman 64 Second Attack,nintendo-64,204.75,840.00,604.00,28/02/2024
Star Wars Episode I Racer,nintendo-64,7.91,27.99,81.82,28/02/2024
Super Bowling,nintendo-64,450.00,983.00,147.00,28/02/2024
Star Wars Shadows of the Empire,nintendo-64,12.99,49.99,119.90,28/02/2024
Zelda Majora's Mask [Not for Resale Gray],nintendo-64,986.20,N/A,N/A,28/02/2024
Ogre Battle 64: Person of Lordly Caliber,nintendo-64,82.20,264.80,459.69,28/02/2024
Mario Tennis,nintendo-64,18.42,55.07,549.50,28/02/2024
Star Wars Rogue Squadron,nintendo-64,13.35,41.00,352.58,28/02/2024
Turok 2 Seeds of Evil,nintendo-64,9.06,40.45,81.50,28/02/2024
The Glove Controller,nintendo-64,76.49,208.06,645.00,28/02/2024
WWF No Mercy,nintendo-64,30.92,76.09,300.00,28/02/2024
Castlevania,nintendo-64,19.50,65.50,282.53,28/02/2024
Harvest Moon 64,nintendo-64,55.92,234.98,898.00,28/02/2024
Castlevania Legacy of Darkness,nintendo-64,102.78,316.22,676.01,28/02/2024
Wave Race 64,nintendo-64,11.85,49.99,773.00,28/02/2024
Expansion Pak,nintendo-64,45.79,85.00,128.85,28/02/2024
Snowboard Kids 2,nintendo-64,56.50,379.50,176.00,28/02/2024
Starcraft 64,nintendo-64,75.56,253.81,435.26,28/02/2024
Wayne Gretzky's 3D Hockey 98,nintendo-64,8.74,37.47,82.23,28/02/2024
Mega Man 64,nintendo-64,59.56,190.00,347.39,28/02/2024
WWF No Mercy [USA-1],nintendo-64,345.00,486.21,325.14,28/02/2024
Nintendo 64 System [Gold Controller Bundle],nintendo-64,186.50,593.74,841.00,28/02/2024
Clay Fighter 63 1/3,nintendo-64,29.48,134.94,430.00,28/02/2024
Smoke Controller,nintendo-64,49.50,143.07,396.00,28/02/2024
Worms Armageddon,nintendo-64,187.75,757.93,350.00,28/02/2024
Mystical Ninja Starring Goemon,nintendo-64,69.54,252.50,749.99,28/02/2024
007 World Is Not Enough,nintendo-64,13.58,45.00,243.53,28/02/2024
Fire Orange Controller,nintendo-64,55.00,208.97,750.00,28/02/2024
Doom 64,nintendo-64,29.46,121.49,470.55,28/02/2024
Nintendo 64 System [Pokemon Stadium Battle Set],nintendo-64,184.99,450.00,495.00,28/02/2024
International Superstar Soccer 98,nintendo-64,29.14,112.20,121.63,28/02/2024
Turok 2 Seeds of Evil [Gray Cart],nintendo-64,11.54,35.38,110.00,28/02/2024
Mario Golf,nintendo-64,30.00,80.50,588.43,28/02/2024
F-Zero X,nintendo-64,30.00,117.25,233.95,28/02/2024
Nintendo 64 System [Extreme Green Controller Bundle],nintendo-64,N/A,N/A,N/A,28/02/2024
Jet Force Gemini,nintendo-64,13.57,52.94,162.51,28/02/2024
Turok Dinosaur Hunter,nintendo-64,13.76,48.64,562.50,28/02/2024
Gameshark Pro 3.3,nintendo-64,35.00,45.16,140.00,28/02/2024
Watermelon Red Controller,nintendo-64,44.97,139.17,434.90,28/02/2024
Twisted Edge,nintendo-64,8.00,33.75,105.00,28/02/2024
Stunt Racer,nintendo-64,270.00,311.15,165.00,28/02/2024
Funtastic Fire Orange Nintendo 64 System,nintendo-64,187.81,575.16,783.00,28/02/2024
Pokemon Puzzle League,nintendo-64,20.74,86.79,207.51,28/02/2024
Funtastic Watermelon Red Nintendo 64 System,nintendo-64,181.27,419.75,301.00,28/02/2024
Dr. Mario 64,nintendo-64,25.04,80.94,317.21,28/02/2024
Gauntlet Legends,nintendo-64,30.00,86.54,184.78,28/02/2024
Killer Instinct Gold,nintendo-64,24.99,107.09,387.34,28/02/2024
Funtastic Grape Purple Nintendo 64 System,nintendo-64,188.26,402.58,248.00,28/02/2024
Nintendo 64 Atomic Purple Bundle,nintendo-64,195.50,698.73,166.00,28/02/2024
Mischief Makers,nintendo-64,38.23,173.74,299.00,28/02/2024
NBA In The Zone 2000,nintendo-64,24.99,173.29,459.99,28/02/2024
Grey Comboy Nintendo 64 Controller,nintendo-64,16.04,51.33,160.40,28/02/2024
